구분, 총계 , 총계 남 , 총계 여 , 중구 계 , 중구 남 , 중구 여 , 동구 계 , 동구 남 , 동구 여 , 서구 계 , 서구 남 , 서구 여 , 남구 계 , 남구 남 , 남구 여 , 북구 계 , 북구 남 , 북구 여 , 수성구 계 , 수성구 남 , 수성구 여 , 달서구 계 , 달서구 남 , 달서구 여 , 달성군 계 , 달성군 남 , 달성군 여 
0세,16790,8579,8211,618,319,299,2552,1271,1281,931,465,466,748,383,365,3231,1606,1625,2140,1098,1042,3959,2087,1872,2611,1350,1261
1세,19466,9990,9476,589,309,280,3023,1516,1507,1089,576,513,864,440,424,3730,1912,1818,2674,1403,1271,4571,2367,2204,2926,1467,1459
2세,19972,10194,9778,585,283,302,3102,1613,1489,1043,529,514,813,409,404,3813,1980,1833,2752,1387,1365,4923,2525,2398,2941,1468,1473
3세,19686,10013,9673,560,284,276,3006,1510,1496,1158,596,562,867,448,419,3784,1914,1870,2964,1537,1427,4648,2355,2293,2699,1369,1330
4세,21637,11086,10551,596,326,270,3271,1680,1591,1169,572,597,909,443,466,4112,2136,1976,3452,1765,1687,5186,2636,2550,2942,1528,1414
5세,21607,11058,10549,563,309,254,3246,1693,1553,1110,574,536,885,466,419,4050,2104,1946,3616,1810,1806,5267,2640,2627,2870,1462,1408
6세,22206,11453,10753,574,292,282,3091,1593,1498,1184,609,575,865,459,406,4178,2151,2027,4033,2074,1959,5479,2849,2630,2802,1426,1376
7세,20237,10492,9745,489,273,216,2936,1532,1404,928,468,460,769,384,385,3777,1929,1848,3833,1999,1834,5118,2660,2458,2387,1247,1140
8세,21074,10979,10095,473,238,235,2862,1479,1383,1064,525,539,908,487,421,3927,2019,1908,4244,2247,1997,5192,2746,2446,2404,1238,1166
9세,23037,11809,11228,527,274,253,3025,1535,1490,1140,581,559,939,472,467,4467,2337,2130,4864,2482,2382,5686,2910,2776,2389,1218,1171
10세,21297,11035,10262,471,249,222,2682,1410,1272,1074,514,560,905,492,413,4085,2131,1954,4697,2428,2269,5226,2686,2540,2157,1125,1032
11세,21025,10998,10027,447,239,208,2530,1319,1211,1063,557,506,896,480,416,4047,2092,1955,4751,2548,2203,5245,2672,2573,2046,1091,955
12세,21913,11487,10426,422,208,214,2651,1405,1246,1122,588,534,902,481,421,4214,2202,2012,5125,2710,2415,5418,2867,2551,2059,1026,1033
13세,24400,12892,11508,498,249,249,2698,1429,1269,1293,700,593,1088,550,538,4755,2537,2218,5909,3144,2765,6038,3158,2880,2121,1125,996
14세,24311,12887,11424,500,263,237,2810,1462,1348,1406,748,658,1040,565,475,4619,2447,2172,5723,3099,2624,6169,3199,2970,2044,1104,940
15세,26712,14150,12562,563,290,273,2996,1608,1388,1572,832,740,1108,592,516,5227,2756,2471,6306,3356,2950,6802,3553,3249,2138,1163,975
16세,31578,16777,14801,647,320,327,3459,1840,1619,1920,1045,875,1372,721,651,6051,3197,2854,7495,4076,3419,8150,4288,3862,2484,1290,1194
17세,32338,17087,15251,700,345,355,3619,1969,1650,2007,1082,925,1454,744,710,6098,3207,2891,7437,3975,3462,8515,4444,4071,2508,1321,1187
18세,31497,16875,14622,713,367,346,3605,1947,1658,2034,1058,976,1530,790,740,5892,3184,2708,7033,3776,3257,8253,4442,3811,2437,1311,1126
19세,34005,17880,16125,771,382,389,3831,2056,1775,2453,1326,1127,1699,860,839,6484,3360,3124,7171,3815,3356,8907,4643,4264,2689,1438,1251
20세,35111,18724,16387,860,449,411,4201,2187,2014,2455,1297,1158,1969,1034,935,6642,3525,3117,7119,3890,3229,9111,4799,4312,2754,1543,1211
21세,36885,19806,17079,986,485,501,4551,2476,2075,2807,1553,1254,2111,1124,987,6846,3608,3238,7214,3916,3298,9536,5050,4486,2834,1594,1240
22세,36042,19716,16326,1083,513,570,4501,2465,2036,2834,1539,1295,2153,1174,979,6671,3633,3038,6825,3743,3082,9251,5088,4163,2724,1561,1163
23세,35832,19714,16118,1154,600,554,4591,2565,2026,2843,1606,1237,2130,1137,993,6613,3669,2944,6576,3594,2982,9182,5015,4167,2743,1528,1215
24세,36047,19886,16161,1281,612,669,4603,2564,2039,3046,1717,1329,2257,1201,1056,6407,3641,2766,6329,3506,2823,9282,5063,4219,2842,1582,1260
25세,34549,19125,15424,1280,681,599,4500,2515,1985,2925,1608,1317,2320,1230,1090,6112,3416,2696,5989,3317,2672,8659,4793,3866,2764,1565,1199
26세,30771,16956,13815,1172,606,566,4131,2274,1857,2636,1487,1149,1991,1020,971,5381,2960,2421,5115,2785,2330,7824,4406,3418,2521,1418,1103
27세,30419,16788,13631,1146,605,541,4175,2328,1847,2543,1473,1070,2006,1057,949,5317,2941,2376,4891,2648,2243,7653,4210,3443,2688,1526,1162
28세,28223,15564,12659,1089,562,527,3940,2160,1780,2337,1354,983,1969,1084,885,4875,2692,2183,4367,2369,1998,7084,3912,3172,2562,1431,1131
29세,27060,14566,12494,982,499,483,4048,2154,1894,2183,1243,940,1745,947,798,4746,2588,2158,4035,2144,1891,6639,3594,3045,2682,1397,1285
30세,27253,14433,12820,1021,527,494,4096,2123,1973,2219,1224,995,1800,982,818,4810,2564,2246,3932,2056,1876,6494,3460,3034,2881,1497,1384
31세,27979,14878,13101,1102,563,539,4141,2222,1919,2231,1265,966,1943,1016,927,4836,2572,2264,3869,2022,1847,6654,3576,3078,3203,1642,1561
32세,27547,14460,13087,1093,563,530,4246,2228,2018,2080,1162,918,1830,963,867,4815,2532,2283,3792,1890,1902,6465,3404,3061,3226,1718,1508
33세,31373,15951,15422,1174,559,615,4649,2395,2254,2326,1287,1039,2049,1067,982,5516,2799,2717,4517,2213,2304,7348,3744,3604,3794,1887,1907
34세,34961,17425,17536,1285,637,648,5404,2729,2675,2589,1415,1174,2164,1100,1064,6179,3057,3122,4820,2270,2550,8198,4089,4109,4322,2128,2194
35세,37255,18616,18639,1316,684,632,5788,2902,2886,2630,1455,1175,2246,1131,1115,6629,3290,3339,5341,2497,2844,8753,4284,4469,4552,2373,2179
36세,37604,18789,18815,1258,664,594,5907,3028,2879,2648,1438,1210,2262,1124,1138,6635,3231,3404,5552,2554,2998,8822,4408,4414,4520,2342,2178
37세,37860,18785,19075,1219,622,597,5804,2922,2882,2613,1421,1192,2158,1117,1041,6863,3467,3396,5850,2627,3223,8871,4345,4526,4482,2264,2218
38세,34019,16946,17073,1041,539,502,5187,2645,2542,2235,1224,1011,1960,994,966,6038,3043,2995,5519,2535,2984,8112,3990,4122,3927,1976,1951
39세,34876,17300,17576,970,514,456,5156,2690,2466,2249,1201,1048,1958,1017,941,6504,3141,3363,5858,2617,3241,8303,4056,4247,3878,2064,1814
40세,35488,17861,17627,1101,574,527,5173,2701,2472,2344,1318,1026,1962,996,966,6531,3274,3257,6190,2826,3364,8425,4188,4237,3762,1984,1778
